transaction_id,items,basket_size
92,"['other_vegetables', 'bottled_water']",2
93,"['herbs', 'candy']",2
97,"['frankfurter', 'rolls/buns']",2
100,"['curd', 'rolls/buns']",2
101,"['whole_milk', 'bottled_water', 'newspapers']",3
102,"['rolls/buns', 'chewing_gum']",2
103,"['citrus_fruit', 'pastry']",2
105,"['rolls/buns', 'pastry', 'soda']",3
106,"['condensed_milk', 'sugar', 'coffee', 'shopping_bags']",4
107,"['whole_milk', 'beverages', 'uht-milk', 'soda']",4
109,"['beverages', 'specialty_bar']",2
110,"['bottled_water', 'fruit/vegetable_juice']",2
112,"['cleaner', 'female_sanitary_products']",2
114,"['misc._beverages', 'newspapers']",2
115,"['whole_milk', 'mustard', 'bottled_water']",3
116,"['meat', 'other_vegetables', 'butter', 'rolls/buns']",4
117,"['whole_milk', 'whipped/sour_cream', 'semi-finished_bread', 'margarine']",4
118,"['citrus_fruit', 'whole_milk', 'rolls/buns']",3
119,"['hard_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4
120,"['cream_cheese', 'rolls/buns', 'soda', 'chocolate']",4
121,"['whole_milk', 'beverages']",2
122,"['rolls/buns', 'soda']",2
124,"['pip_fruit', 'other_vegetables', 'fruit/vegetable_juice']",3
125,"['root_vegetables', 'other_vegetables', 'yogurt']",3
128,"['root_vegetables', 'whole_milk', 'pet_care', 'detergent']",4
131,"['pickled_vegetables', 'coffee']",2
134,"['turkey', 'pip_fruit', 'salad_dressing', 'pastry']",4
136,"['citrus_fruit', 'tropical_fruit']",2
137,"['citrus_fruit', 'sugar', 'sauces']",3
138,"['citrus_fruit', 'packaged_fruit/vegetables', 'yogurt', 'bottled_water']",4
139,"['uht-milk', 'coffee']",2
142,"['beef', 'citrus_fruit', 'other_vegetables', 'yogurt']",4
145,"['other_vegetables', 'yogurt', 'brown_bread', 'instant_coffee']",4
146,"['bottled_water', 'cake_bar']",2
147,"['tropical_fruit', 'soda', 'salty_snack']",3
149,"['grapes', 'root_vegetables']",2
150,"['domestic_eggs', 'brown_bread', 'photo/film']",3
151,"['tropical_fruit', 'whole_milk']",2
153,"['margarine', 'hygiene_articles']",2
154,"['soda', 'specialty_chocolate']",2
160,"['frankfurter', 'rolls/buns']",2
161,"['salt', 'salty_snack', 'cookware']",3
163,"['other_vegetables', 'butter', 'specialty_chocolate']",3
165,"['frankfurter', 'whole_milk', 'butter_milk']",3
166,"['whole_milk', 'soda']",2
169,"['whole_milk', 'hygiene_articles']",2
171,"['citrus_fruit', 'whole_milk', 'curd', 'soft_cheese']",4
172,"['pastry', 'fruit/vegetable_juice']",2
174,"['other_vegetables', 'bottled_water']",2
175,"['berries', 'white_bread']",2
176,"['berries', 'coffee']",2
177,"['other_vegetables', 'butter_milk', 'frozen_meals', 'bottled_water']",4
178,"['rolls/buns', 'newspapers']",2
179,"['whole_milk', 'frozen_dessert', 'salty_snack', 'napkins']",4
180,"['tropical_fruit', 'butter_milk', 'rolls/buns', 'bottled_water']",4
182,"['butter_milk', 'yogurt']",2
185,"['hard_cheese', 'pastry', 'napkins']",3
186,"['onions', 'whole_milk', 'beverages', 'frozen_dessert']",4
191,"['yogurt', 'chocolate']",2
192,"['domestic_eggs', 'rolls/buns', 'dish_cleaner', 'hygiene_articles']",4
194,"['meat', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4
195,"['dish_cleaner', 'bathroom_cleaner', 'hygiene_articles', 'napkins']",4
196,"['other_vegetables', 'whole_milk', 'rolls/buns', 'instant_food_products']",4
197,"['tropical_fruit', 'other_vegetables']",2
198,"['baking_powder', 'bottled_water', 'salty_snack', 'chewing_gum']",4
201,"['frankfurter', 'yogurt']",2
203,"['domestic_eggs', 'rolls/buns', 'specialty_bar', 'napkins']",4
204,"['other_vegetables', 'pet_care']",2
205,"['soda', 'chewing_gum']",2
208,"['root_vegetables', 'pastry', 'bottled_water', 'male_cosmetics']",4
210,"['berries', 'pet_care', 'cake_bar', 'shopping_bags']",4
211,"['whole_milk', 'oil', 'canned_fruit', 'fruit/vegetable_juice']",4
212,"['soda', 'misc._beverages']",2
213,"['bottled_water', 'soda']",2
214,"['tropical_fruit', 'other_vegetables', 'rolls/buns']",3
217,"['citrus_fruit', 'uht-milk', 'cream_cheese', 'frozen_vegetables']",4
218,"['dessert', 'oil', 'cat_food', 'soda']",4
220,"['coffee', 'hygiene_articles']",2
221,"['rolls/buns', 'brown_bread', 'bottled_water']",3
222,"['bottled_water', 'misc._beverages', 'cling_film/bags']",3
223,"['herbs', 'bottled_water']",2
224,"['yogurt', 'rolls/buns']",2
228,"['beef', 'root_vegetables']",2
229,"['whole_milk', 'honey', 'waffles']",3
230,"['other_vegetables', 'whole_milk', 'cream_cheese']",3
231,"['whole_milk', 'rolls/buns', 'newspapers']",3
232,"['frankfurter', 'margarine', 'dental_care']",3
233,"['other_vegetables', 'salty_snack']",2
234,"['bottled_water', 'shopping_bags']",2
236,"['other_vegetables', 'whipped/sour_cream', 'specialty_cheese', 'domestic_eggs']",4
238,"['whole_milk', 'cream_cheese', 'soda', 'fruit/vegetable_juice']",4
240,"['pastry', 'bottled_water']",2
241,"['frankfurter', 'soda']",2
242,"['dessert', 'candy']",2
243,"['other_vegetables', 'packaged_fruit/vegetables', 'uht-milk', 'bottled_water']",4
244,"['beverages', 'rolls/buns', 'soda']",3
246,"['brown_bread', 'soda', 'salty_snack', 'shopping_bags']",4
247,"['whole_milk', 'cream_cheese', 'coffee']",3
248,"['citrus_fruit', 'other_vegetables', 'soda']",3
249,"['other_vegetables', 'shopping_bags']",2
250,"['whole_milk', 'dessert', 'bottled_water']",3
251,"['soda', 'misc._beverages']",2
252,"['whole_milk', 'curd']",2
253,"['white_bread', 'brown_bread']",2
254,"['brown_bread', 'sugar', 'hygiene_articles']",3
256,"['coffee', 'detergent', 'hygiene_articles', 'photo/film']",4
259,"['other_vegetables', 'yogurt']",2
260,"['yogurt', 'bottled_water', 'dishes']",3
261,"['bottled_water', 'candy']",2
262,"['packaged_fruit/vegetables', 'seasonal_products']",2
263,"['other_vegetables', 'margarine']",2
265,"['herbs', 'yogurt']",2
266,"['citrus_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4
270,"['soda', 'female_sanitary_products']",2
271,"['white_bread', 'bottled_water', 'soda', 'waffles']",4
272,"['coffee', 'chewing_gum', 'chocolate_marshmallow']",3
273,"['citrus_fruit', 'bottled_water']",2
275,"['frankfurter', 'rolls/buns']",2
277,"['yogurt', 'fruit/vegetable_juice', 'newspapers']",3
280,"['root_vegetables', 'other_vegetables']",2
281,"['onions', 'fruit/vegetable_juice']",2
284,"['rolls/buns', 'soda', 'snack_products', 'newspapers']",4
285,"['butter', 'fruit/vegetable_juice', 'newspapers']",3
288,"['fruit/vegetable_juice', 'long_life_bakery_product']",2
289,"['pip_fruit', 'whole_milk', 'bottled_water', 'candy']",4
293,"['cling_film/bags', 'pot_plants']",2
294,"['chicken', 'pastry']",2
296,"['whipped/sour_cream', 'pastry', 'specialty_bar']",3
297,"['root_vegetables', 'brown_bread']",2
298,"['rolls/buns', 'soda']",2
299,"['coffee', 'long_life_bakery_product']",2
300,"['pip_fruit', 'whole_milk', 'canned_fish']",3
306,"['rolls/buns', 'spices']",2
307,"['beverages', 'pastry', 'bottled_water']",3
308,"['beef', 'citrus_fruit', 'other_vegetables', 'rolls/buns']",4
309,"['root_vegetables', 'whole_milk', 'detergent']",3
310,"['yogurt', 'bottled_water']",2
311,"['frankfurter', 'root_vegetables', 'newspapers']",3
313,"['tropical_fruit', 'domestic_eggs', 'rolls/buns', 'pastry']",4
315,"['coffee', 'soda']",2
318,"['tropical_fruit', 'other_vegetables']",2
319,"['meat', 'other_vegetables']",2
321,"['rolls/buns', 'pastry', 'newspapers']",3
322,"['whole_milk', 'rolls/buns', 'detergent']",3
324,"['whole_milk', 'domestic_eggs', 'rolls/buns', 'soda']",4
325,"['whole_milk', 'hard_cheese', 'chocolate_marshmallow']",3
326,"['curd', 'butter_milk', 'yogurt', 'beverages']",4
329,"['chicken', 'butter', 'newspapers']",3
330,"['yogurt', 'pastry', 'coffee']",3
331,"['pastry', 'coffee']",2
332,"['chicken', 'beef', 'specialty_chocolate']",3
333,"['whole_milk', 'frozen_meals', 'rolls/buns']",3
335,"['rolls/buns', 'canned_fish']",2
338,"['curd', 'uht-milk', 'artif._sweetener', 'dental_care']",4
339,"['beef', 'berries', 'onions', 'rolls/buns']",4
340,"['yogurt', 'hygiene_articles', 'newspapers', 'shopping_bags']",4
341,"['bottled_water', 'candy']",2
342,"['frankfurter', 'beef', 'butter']",3
343,"['rolls/buns', 'soda', 'snack_products', 'shopping_bags']",4
344,"['whole_milk', 'pastry', 'bottled_water', 'hygiene_articles']",4
346,"['rolls/buns', 'newspapers']",2
347,"['yogurt', 'specialty_bar']",2
348,"['whipped/sour_cream', 'specialty_bar']",2
350,"['beverages', 'rolls/buns']",2
352,"['rolls/buns', 'shopping_bags']",2
353,"['bottled_water', 'soda']",2
355,"['spread_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4
356,"['tropical_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4
358,"['chicken', 'onions', 'herbs', 'hygiene_articles']",4
359,"['beef', 'tropical_fruit', 'root_vegetables', 'yogurt']",4
361,"['frankfurter', 'rolls/buns', 'mustard']",3
362,"['grapes', 'soda']",2
363,"['beverages', 'rolls/buns']",2
364,"['ice_cream', 'sugar', 'flower_(seeds)']",3
366,"['dessert', 'beverages', 'bottled_water']",3
369,"['berries', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4
370,"['vinegar', 'oil']",2
371,"['rolls/buns', 'soda', 'specialty_bar']",3
373,"['rolls/buns', 'newspapers']",2
374,"['onions', 'other_vegetables', 'flour']",3
375,"['tropical_fruit', 'whole_milk', 'rolls/buns']",3
377,"['meat', 'rolls/buns', 'soda', 'specialty_bar']",4
378,"['whole_milk', 'dessert']",2
379,"['pet_care', 'bottled_water']",2
380,"['root_vegetables', 'other_vegetables', 'soda', 'shopping_bags']",4
382,"['frozen_dessert', 'semi-finished_bread']",2
383,"['root_vegetables', 'whole_milk', 'yogurt', 'rolls/buns']",4
384,"['root_vegetables', 'whole_milk', 'butter', 'coffee']",4
385,"['soda', 'newspapers']",2
387,"['whole_milk', 'chewing_gum']",2
388,"['root_vegetables', 'pot_plants']",2
389,"['cream_cheese', 'spread_cheese', 'rolls/buns']",3
391,"['citrus_fruit', 'tropical_fruit', 'pip_fruit']",3
392,"['citrus_fruit', 'whole_milk']",2
394,"['whole_milk', 'yogurt']",2
398,"['berries', 'whole_milk', 'whipped/sour_cream', 'domestic_eggs']",4
399,"['packaged_fruit/vegetables', 'whole_milk', 'rolls/buns', 'pastry']",4
400,"['frankfurter', 'soda']",2
401,"['other_vegetables', 'whipped/sour_cream']",2
402,"['beef', 'other_vegetables']",2
404,"['frozen_meals', 'misc._beverages']",2
406,"['packaged_fruit/vegetables', 'pickled_vegetables']",2
408,"['berries', 'frozen_vegetables', 'pet_care', 'instant_coffee']",4
409,"['bottled_water', 'soda', 'chewing_gum', 'napkins']",4
410,"['ice_cream', 'rolls/buns']",2
411,"['frankfurter', 'citrus_fruit', 'tropical_fruit', 'rolls/buns']",4
412,"['beef', 'root_vegetables', 'whole_milk', 'cream_cheese']",4
414,"['sugar', 'hygiene_articles']",2
415,"['berries', 'whipped/sour_cream']",2
416,"['yogurt', 'beverages', 'coffee']",3
418,"['potato_products', 'flower_(seeds)']",2
419,"['chicken', 'other_vegetables', 'salt']",3
420,"['fish', 'cream_cheese', 'coffee']",3
421,"['other_vegetables', 'misc._beverages']",2
422,"['tropical_fruit', 'whole_milk']",2
423,"['whole_milk', 'cake_bar', 'newspapers']",3
424,"['whole_milk', 'rolls/buns', 'chocolate']",3
425,"['rolls/buns', 'soda']",2
426,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'other_vegetables']",4
427,"['sliced_cheese', 'pastry', 'newspapers']",3
430,"['root_vegetables', 'whipped/sour_cream']",2
431,"['packaged_fruit/vegetables', 'pot_plants']",2
432,"['whole_milk', 'cream_cheese']",2
433,"['soda', 'shopping_bags']",2
434,"['frankfurter', 'popcorn']",2
435,"['frankfurter', 'rolls/buns']",2
437,"['frozen_fish', 'newspapers']",2
438,"['tropical_fruit', 'newspapers']",2
439,"['specialty_chocolate', 'pot_plants']",2
440,"['citrus_fruit', 'napkins', 'shopping_bags']",3
441,"['whole_milk', 'pastry', 'detergent', 'candles']",4
443,"['other_vegetables', 'whole_milk', 'white_bread', 'chewing_gum']",4
444,"['whole_milk', 'rolls/buns', 'shopping_bags']",3
445,"['other_vegetables', 'chewing_gum']",2
446,"['whole_milk', 'whipped/sour_cream', 'baking_powder']",3
447,"['rolls/buns', 'coffee']",2
449,"['ice_cream', 'newspapers']",2
450,"['whole_milk', 'frozen_meals', 'newspapers']",3
451,"['salt', 'dog_food', 'long_life_bakery_product']",3
452,"['other_vegetables', 'whole_milk', 'yogurt']",3
455,"['tropical_fruit', 'oil', 'cat_food']",3
456,"['other_vegetables', 'butter_milk', 'frozen_fish', 'salty_snack']",4
459,"['artif._sweetener', 'soda', 'photo/film']",3
460,"['frankfurter', 'whole_milk', 'coffee', 'detergent']",4
461,"['whole_milk', 'newspapers']",2
462,"['domestic_eggs', 'hygiene_articles', 'photo/film', 'flower_soil/fertilizer']",4
464,"['cream_cheese', 'margarine', 'tea']",3
465,"['citrus_fruit', 'onions']",2
466,"['other_vegetables', 'whipped/sour_cream', 'roll_products']",3
468,"['onions', 'domestic_eggs', 'soda', 'hygiene_articles']",4
469,"['rolls/buns', 'long_life_bakery_product']",2
470,"['ice_cream', 'long_life_bakery_product']",2
471,"['coffee', 'fruit/vegetable_juice', 'dishes']",3
472,"['whole_milk', 'butter', 'pasta', 'misc._beverages']",4
474,"['citrus_fruit', 'berries', 'butter_milk', 'yogurt']",4
475,"['margarine', 'newspapers']",2
476,"['butter_milk', 'yogurt']",2
478,"['whole_milk', 'rice']",2
480,"['whole_milk', 'white_bread']",2
481,"['grapes', 'zwieback', 'soda', 'waffles']",4
483,"['uht-milk', 'bottled_water']",2
485,"['yogurt', 'margarine']",2
488,"['frankfurter', 'other_vegetables', 'specialty_cheese', 'chewing_gum']",4
492,"['whole_milk', 'pastry']",2
493,"['dessert', 'bottled_water', 'soda']",3
495,"['butter', 'rolls/buns', 'salt']",3
497,"['soda', 'misc._beverages']",2
498,"['whole_milk', 'frozen_vegetables']",2
504,"['bottled_water', 'soda']",2
505,"['bottled_water', 'soda', 'chewing_gum']",3
506,"['frankfurter', 'turkey', 'citrus_fruit']",3
507,"['ice_cream', 'coffee', 'waffles']",3
509,"['uht-milk', 'vinegar', 'waffles', 'chocolate']",4
511,"['popcorn', 'candy']",2
512,"['soda', 'candy']",2
513,"['uht-milk', 'instant_coffee']",2
516,"['whole_milk', 'soda', 'misc._beverages', 'shopping_bags']",4
517,"['cat_food', 'dish_cleaner', 'shopping_bags']",3
520,"['root_vegetables', 'skin_care']",2
521,"['finished_products', 'other_vegetables', 'soda', 'fruit/vegetable_juice']",4
523,"['other_vegetables', 'yogurt', 'oil', 'dental_care']",4
525,"['other_vegetables', 'nut_snack']",2
528,"['yogurt', 'newspapers']",2
529,"['other_vegetables', 'sugar']",2
533,"['dessert', 'white_bread']",2
534,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'long_life_bakery_product']",4
537,"['turkey', 'whole_milk', 'uht-milk', 'fruit/vegetable_juice']",4
538,"['grapes', 'chocolate', 'light_bulbs']",3
540,"['bottled_water', 'pot_plants']",2
541,"['prosecco', 'hygiene_articles', 'pot_plants']",3
542,"['uht-milk', 'soda', 'dish_cleaner', 'napkins']",4
544,"['tropical_fruit', 'pasta', 'bottled_water']",3
546,"['yogurt', 'uht-milk', 'rolls/buns']",3
547,"['rolls/buns', 'coffee']",2
548,"['whole_milk', 'brown_bread']",2
549,"['brown_bread', 'chocolate']",2
551,"['other_vegetables', 'yogurt', 'cream_cheese']",3
552,"['citrus_fruit', 'cake_bar', 'baby_cosmetics', 'shopping_bags']",4
555,"['root_vegetables', 'whole_milk', 'yogurt', 'frozen_potato_products']",4
556,"['domestic_eggs', 'seasonal_products', 'shopping_bags']",3
557,"['domestic_eggs', 'specialty_bar', 'seasonal_products', 'shopping_bags']",4
558,"['bottled_water', 'soda']",2
561,"['tropical_fruit', 'sliced_cheese', 'domestic_eggs', 'zwieback']",4
562,"['frozen_potato_products', 'pot_plants']",2
563,"['frankfurter', 'other_vegetables', 'zwieback']",3
566,"['frozen_potato_products', 'bottled_water', 'soda']",3
567,"['tropical_fruit', 'dessert', 'sweet_spreads', 'fruit/vegetable_juice']",4
568,"['rolls/buns', 'brown_bread']",2
569,"['citrus_fruit', 'tropical_fruit', 'whole_milk', 'coffee']",4
570,"['yogurt', 'softener']",2
571,"['soda', 'softener']",2
573,"['oil', 'dental_care', 'newspapers']",3
576,"['whipped/sour_cream', 'beverages', 'fruit/vegetable_juice', 'chocolate']",4
578,"['whole_milk', 'frozen_vegetables', 'specialty_chocolate']",3
579,"['coffee', 'shopping_bags']",2
580,"['rolls/buns', 'waffles']",2
581,"['citrus_fruit', 'yogurt', 'brown_bread', 'pasta']",4
582,"['cream_cheese', 'rolls/buns']",2
584,"['chicken', 'whipped/sour_cream', 'coffee', 'shopping_bags']",4
586,"['grapes', 'root_vegetables']",2
587,"['root_vegetables', 'other_vegetables', 'yogurt']",3
588,"['oil', 'dish_cleaner', 'newspapers']",3
591,"['onions', 'vinegar', 'pet_care', 'specialty_bar']",4
592,"['dessert', 'dishes']",2
593,"['chewing_gum', 'napkins', 'dishes']",3
594,"['beverages', 'pastry', 'long_life_bakery_product', 'chocolate_marshmallow']",4
595,"['cat_food', 'soda']",2
596,"['whole_milk', 'beverages', 'pastry', 'soda']",4
597,"['soda', 'fruit/vegetable_juice']",2
599,"['beverages', 'bottled_water', 'misc._beverages']",3
600,"['whole_milk', 'yogurt', 'chocolate']",3
601,"['whole_milk', 'brown_bread']",2
602,"['citrus_fruit', 'frozen_potato_products']",2
603,"['ice_cream', 'salty_snack', 'waffles']",3
604,"['root_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product', 'pot_plants']",4
607,"['other_vegetables', 'chocolate']",2
608,"['whole_milk', 'white_bread', 'pastry']",3
609,"['zwieback', 'oil', 'mustard', 'chocolate']",4
610,"['butter', 'yogurt', 'dog_food']",3
611,"['chicken', 'tropical_fruit', 'candy', 'shopping_bags']",4
612,"['other_vegetables', 'cream_cheese', 'coffee', 'dishes']",4
614,"['chicken', 'whole_milk']",2
615,"['yogurt', 'chocolate']",2
616,"['frozen_meals', 'pet_care', 'soda']",3
617,"['canned_fruit', 'meat_spreads', 'bottled_water']",3
618,"['butter', 'waffles', 'chocolate']",3
619,"['meat', 'yogurt']",2
620,"['root_vegetables', 'butter', 'frozen_vegetables', 'salty_snack']",4
621,"['yogurt', 'sugar', 'instant_coffee']",3
622,"['yogurt', 'rolls/buns', 'pastry', 'soda']",4
624,"['dessert', 'misc._beverages']",2
625,"['curd', 'jam', 'shopping_bags']",3
630,"['herbs', 'pot_plants']",2
631,"['whole_milk', 'sugar', 'pudding_powder']",3
634,"['cream_cheese', 'dishes']",2
635,"['frozen_fruits', 'detergent']",2
638,"['whole_milk', 'soda']",2
640,"['whole_milk', 'yogurt']",2
641,"['chicken', 'whole_milk']",2
644,"['whole_milk', 'shopping_bags']",2
645,"['root_vegetables', 'coffee', 'detergent']",3
647,"['oil', 'female_sanitary_products', 'cling_film/bags']",3
649,"['uht-milk', 'coffee']",2
650,"['butter_milk', 'shopping_bags']",2
651,"['brown_bread', 'specialty_chocolate', 'shopping_bags']",3
653,"['beverages', 'soda', 'chocolate']",3
656,"['rolls/buns', 'bottled_water']",2
657,"['hard_cheese', 'rolls/buns', 'soda', 'shopping_bags']",4
660,"['tropical_fruit', 'frozen_vegetables']",2
662,"['whipped/sour_cream', 'salty_snack']",2
663,"['citrus_fruit', 'whole_milk', 'butter_milk', 'whipped/sour_cream']",4
665,"['soda', 'fruit/vegetable_juice']",2
666,"['tropical_fruit', 'whole_milk']",2
668,"['dessert', 'fruit/vegetable_juice', 'newspapers']",3
669,"['whole_milk', 'rolls/buns']",2
670,"['rolls/buns', 'soda']",2
671,"['fish', 'dessert', 'yogurt', 'cling_film/bags']",4
672,"['other_vegetables', 'oil', 'margarine', 'dishes']",4
673,"['tropical_fruit', 'other_vegetables', 'waffles', 'napkins']",4
675,"['citrus_fruit', 'coffee']",2
677,"['beef', 'other_vegetables', 'margarine', 'candles']",4
678,"['rolls/buns', 'soda', 'waffles', 'shopping_bags']",4
679,"['whole_milk', 'beverages', 'bottled_water', 'newspapers']",4
680,"['root_vegetables', 'brown_bread', 'pot_plants']",3
682,"['onions', 'shopping_bags']",2
683,"['napkins', 'dishes']",2
686,"['other_vegetables', 'rolls/buns']",2
687,"['frankfurter', 'whole_milk']",2
689,"['whipped/sour_cream', 'flower_(seeds)']",2
690,"['frozen_vegetables', 'brown_bread']",2
691,"['onions', 'yogurt', 'oil']",3
692,"['frankfurter', 'brown_bread', 'sugar']",3
693,"['rolls/buns', 'canned_fish', 'soda']",3
695,"['condensed_milk', 'coffee', 'napkins']",3
696,"['whole_milk', 'frozen_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product']",4
697,"['pip_fruit', 'yogurt', 'sliced_cheese']",3
698,"['pip_fruit', 'other_vegetables']",2
699,"['other_vegetables', 'whipped/sour_cream', 'condensed_milk', 'salt']",4
700,"['pastry', 'long_life_bakery_product', 'shopping_bags']",3
704,"['citrus_fruit', 'tropical_fruit', 'coffee']",3
708,"['tropical_fruit', 'bottled_water', 'chewing_gum']",3
712,"['herbs', 'oil', 'dog_food']",3
713,"['yogurt', 'chocolate']",2
714,"['frankfurter', 'frozen_meals', 'semi-finished_bread', 'shopping_bags']",4
718,"['yogurt', 'shopping_bags']",2
719,"['frozen_vegetables', 'coffee']",2
720,"['pastry', 'soda']",2
721,"['curd', 'bottled_water', 'photo/film']",3
722,"['yogurt', 'bottled_water', 'male_cosmetics']",3
724,"['coffee', 'chocolate']",2
725,"['sauces', 'softener']",2
726,"['napkins', 'dishes']",2
727,"['other_vegetables', 'rolls/buns', 'canned_fish']",3
728,"['chicken', 'citrus_fruit', 'onions', 'bottled_water']",4
730,"['whole_milk', 'rolls/buns']",2
731,"['rolls/buns', 'margarine']",2
732,"['tropical_fruit', 'soft_cheese', 'rolls/buns', 'chocolate']",4
733,"['tropical_fruit', 'pip_fruit', 'brown_bread']",3
734,"['meat', 'rolls/buns', 'specialty_chocolate']",3
735,"['whole_milk', 'coffee', 'female_sanitary_products', 'shopping_bags']",4
736,"['misc._beverages', 'chocolate']",2
737,"['pastry', 'long_life_bakery_product']",2
738,"['soda', 'fruit/vegetable_juice']",2
740,"['domestic_eggs', 'long_life_bakery_product', 'seasonal_products']",3
743,"['yogurt', 'uht-milk', 'domestic_eggs', 'rolls/buns']",4
746,"['citrus_fruit', 'other_vegetables', 'whole_milk']",3
748,"['whole_milk', 'rolls/buns']",2
750,"['tropical_fruit', 'newspapers']",2
751,"['rolls/buns', 'margarine', 'newspapers']",3
753,"['whole_milk', 'dessert']",2
755,"['yogurt', 'rolls/buns']",2
758,"['frankfurter', 'pip_fruit', 'other_vegetables', 'whole_milk']",4
759,"['whole_milk', 'rolls/buns']",2
760,"['whole_milk', 'frozen_vegetables']",2
761,"['whole_milk', 'yogurt', 'white_bread', 'newspapers']",4
762,"['domestic_eggs', 'rolls/buns', 'soda']",3
763,"['soda', 'waffles']",2
765,"['butter_milk', 'coffee']",2
766,"['cream_cheese', 'soda']",2
769,"['frankfurter', 'pip_fruit', 'rolls/buns', 'bottled_water']",4
771,"['nuts/prunes', 'rolls/buns', 'soda']",3
773,"['rolls/buns', 'soda']",2
775,"['chocolate', 'candy']",2
777,"['beef', 'herbs', 'whole_milk']",3
779,"['frankfurter', 'rolls/buns', 'fruit/vegetable_juice']",3
780,"['pip_fruit', 'whole_milk', 'whipped/sour_cream', 'baking_powder']",4
783,"['butter', 'cleaner']",2
784,"['fruit/vegetable_juice', 'nut_snack']",2
785,"['meat', 'specialty_bar']",2
786,"['pip_fruit', 'butter', 'curd', 'chocolate']",4
787,"['other_vegetables', 'domestic_eggs']",2
789,"['whole_milk', 'white_bread', 'salty_snack']",3
793,"['dessert', 'frozen_dessert']",2
795,"['soda', 'long_life_bakery_product']",2
796,"['beef', 'other_vegetables', 'domestic_eggs', 'pastry']",4
797,"['spread_cheese', 'pastry']",2
798,"['citrus_fruit', 'tropical_fruit', 'other_vegetables', 'pot_plants']",4
799,"['rolls/buns', 'soda']",2
800,"['pip_fruit', 'roll_products', 'pot_plants']",3
803,"['pip_fruit', 'whole_milk']",2
